id	uri	siglaTipo	codTipo	numero	ano	ementa	ementa_simplificada	apreciacao	e_urgencia	e_projeto_resoluç�
2385985	https://dadosabertos.camara.leg.br/api/v2/proposicoes/2385985	REQ	392	2923	2023	Requer, nos termos do artigo nº 155, do Regimento Interno da Câmara dos Deputados, tramitação sob o regime de urgência ao Projeto de Lei nº 4.114, de 2023, que dispõe sobre a interceptação de comunicações telefônicas nos casos de investigação dos crimes hediondos 	requer, nos termos do artigo n 155, do regimento interno da câmara dos deputados, tramitação sob o regime de urgência ao projeto de lei n 4.114, de 2023, que dispõe sobre a interceptação de comunicações telefônicas nos casos de investigação dos crimes hediondos e 	projeto de lei n 4.114, de 2023	TRUE	FALSE
2263741	https://dadosabertos.camara.leg.br/api/v2/proposicoes/2263741	REQ	392	2504	2020	Requer, nos termos do artigo 155 do Regimento Interno da Câmara dos Deputados, urgência para tramitação do Projeto de Lei nº 4.078 de 	requer, nos termos do artigo 155 do regimento interno da câmara dos deputados, urgência para tramitação do projeto de lei n 4.078 de 2	projeto de lei n 4.078 de 2020	TRUE	FALSE
2176151	https://dadosabertos.camara.leg.br/api/v2/proposicoes/2176151	REQ	392	8687	2018	"Requeremos a Vossa Excelência, nos termos do artigo 155, do Regimento Interno da Câmara dos Deputados, urgência para apreciação do Projeto de Lei nº 4.060/2012, que \Dispõe sobre o tratamento de dados pessoais, e dá outras provi""."""	"requeremos a vossa excelência, nos termos do artigo 155, do regimento interno da câmara dos deputados, urgência para apreciação do projeto de lei n 4.060/2012, que \dispõe sobre o tratamento de dados pessoais, e dá outras provid""."""	projeto de lei n 4.060/2012	TRUE	FALSE
2278092	https://dadosabertos.camara.leg.br/api/v2/proposicoes/2278092	REQ	392	760	2021	Requeremos, nos termos do art. 155 do Regimento Interno da Câmara dos Deputados, urgência urgentíssima para apreciação Projeto de Lei nº 4.026/2020, da Dep. Sh�	requeremos, nos termos do art. 155 do regimento interno da câmara dos deputados, urgência urgentíssima para apreciação projeto de lei n 4.026/2020, da dep. shé	projeto de lei n 4.026/2020	TRUE	FALSE
547636	https://dadosabertos.camara.leg.br/api/v2/proposicoes/547636	REQ	392	5503	2012	Requer, nos termos do art. 155 do Regimento Interno, urgência para apreciação do Projeto de Lei nº 4.024/2	requer, nos termos do art. 155 do regimento interno, urgência para apreciação do projeto de lei n 4.024/20	projeto de lei n 4.024/2012	TRUE	FALSE
2310026	https://dadosabertos.camara.leg.br/api/v2/proposicoes/2310026	REQ	392	2610	2021	"Requer, nos termos do art. 155 do RICD, urgência para o Projeto de Lei nº 3999/2021, de 29 de novembro de 2021, que denomina \Aeroporto Internacional de Goiânia - Iris Rezende Macha"" o \""Aeroporto Internacional de Goiânia - Santa Genoveva"", localizado na capital do Estado de Goiá"""	"requer, nos termos do art. 155 do ricd, urgência para o projeto de lei n 3999/2021, de 29 de novembro de 2021, que denomina \aeroporto internacional de goiânia - iris rezende machad"" o \""aeroporto internacional de goiânia - santa genoveva"", localizado na capital do estado de goiá"""	projeto de lei n 3999/2021	TRUE	FALSE
2331429	https://dadosabertos.camara.leg.br/api/v2/proposicoes/2331429	REQ	392	1165	2022	Requer, nos termos do artigo 155 do Regimento Interno da Câmara dos Deputados, que seja incluído automaticamente na Ordem do Dia o Projeto de Lei nº 3999/2021, que “Denomina ‘Aeroporto Internacional de Goiânia - Iris Rezende Machado o Aeroporto Internacional de Goiânia - Santa Genoveva’, localizado na capital do Estado	requer, nos termos do artigo 155 do regimento interno da câmara dos deputados, que seja incluído automaticamente na ordem do dia o projeto de lei n 3999/2021, que “denomina ‘aeroporto internacional de goiânia - iris rezende machado o aeroporto internacional de goiânia - santa genoveva’, localizado na capital do estado 	projeto de lei n 3999/2021	FALSE	FALSE
2331488	https://dadosabertos.camara.leg.br/api/v2/proposicoes/2331488	REQ	392	1169	2022	"Requer, nos termos do artigo 155 do Regimento Interno da Câmara dos Deputados, que seja incluído automaticamente na Ordem do Dia o Projeto de Lei nº 3999/2021, que \Denomina 'Aeroporto Internacional de Goiânia - Iris Rezende Machado' o 'Aeroporto Internacional de Goiânia - Santa Genoveva', localizado na capital do Estado de G""."""	"requer, nos termos do artigo 155 do regimento interno da câmara dos deputados, que seja incluído automaticamente na ordem do dia o projeto de lei n 3999/2021, que \denomina 'aeroporto internacional de goiânia - iris rezende machado' o 'aeroporto internacional de goiânia - santa genoveva', localizado na capital do estado de go""."""	projeto de lei n 3999/2021	FALSE	FALSE
2258907	https://dadosabertos.camara.leg.br/api/v2/proposicoes/2258907	REQ	392	1971	2020	Requer regime de urgência na apreciação do Projeto de Lei nº 3968/1	requer regime de urgência na apreciação do projeto de lei n 3968/19	projeto de lei n 3968/1997	TRUE	FALSE
2259517	https://dadosabertos.camara.leg.br/api/v2/proposicoes/2259517	REQ	392	2087	2020	Requer, nos termos do artigo 155 do Regimento Interno da Câmara dos Deputados, que seja incluído automaticamente na Ordem do Dia o Projeto de Lei nº 3964/2020, que “Acrescenta art. 6º-E à Lei nº 13.979, de 6 de fevereiro de 2020, para conceder isenção das contribuições sociais a cargo da empresa às instituições de ensino superior na modalidade presencial, nas condições que especifica, até o término do período de emergência de saúde pública de importância internacional decorrente do coronavíru	requer, nos termos do artigo 155 do regimento interno da câmara dos deputados, que seja incluído automaticamente na ordem do dia o projeto de lei n 3964/2020, que “acrescenta art. 6-e à lei n 13.979, de 6 de fevereiro de 2020, para conceder isenção das contribuições sociais a cargo da empresa às instituições de ensino superior na modalidade presencial, nas condições que especifica, até o término do período de emergência de saúde pública de importância internacional decorrente do coronavírus s	projeto de lei n 3964/2020	FALSE	FALSE
2259722	https://dadosabertos.camara.leg.br/api/v2/proposicoes/2259722	REQ	392	2104	2020	Requer urgência para a apreciação do Projeto de Lei nº 3959, de 2020 que “altera o artigo 121 e 157 do Código Penal, para modificar os crimes de homicídio quando cometido contra o idoso ou pessoa deficiente, portador de doenças degenerativas que acarretem condição limitante ou de vulnerabilidade física ou mental e do roubo quando cometido cont	requer urgência para a apreciação do projeto de lei n 3959, de 2020 que “altera o artigo 121 e 157 do código penal, para modificar os crimes de homicídio quando cometido contra o idoso ou pessoa deficiente, portador de doenças degenerativas que acarretem condição limitante ou de vulnerabilidade física ou mental e do roubo quando cometido contr	projeto de lei n 3959, de 2020	TRUE	FALSE
